,0,urlPath
0,Corymbia ficifolia :: Red Flowering Gum,540
1,Eucalyptus polyanthemos :: Silver Dollar Eucalyptus,561
2,Lophostemon confertus :: Brisbane Box,1425
3,Cupressus macrocarpa :: Monterey Cypress,476
4,Jacaranda mimosifolia :: Jacaranda,741
5,Acacia decurrens :: Acacia: Silver Wattle,23
6,Pyrus kawakamii :: Evergreen Pear,1222
7,Melaleuca spp :: Melaleuca spp,0
8,Eriobotrya japonica :: Edible Loquat,617
9,Platanus x hispanica :: Sycamore: London Plane,1826
10,Acacia baileyana :: Bailey's Acacia,16
11,Prunus cerasifera :: Cherry Plum,1500
12,Pinus Spp :: Pine Spp,0
13,Pinus radiata :: Monterey Pine,1071
14,Eucalyptus sideroxylon :: Red Ironbark,569
15,Acacia melanoxylon :: Blackwood Acacia,28
16,Lyonothamnus floribundus subsp. asplenifolius :: Santa Cruz Ironwood,832
17,Acer spp :: Maple,39
18,Pittosporum undulatum :: Victorian Box,1097
19,Eucalyptus globulus :: Blue Gum,1928
20,Acacia longifolia :: Golden Wattle,27
21,Eucalyptus Spp :: Eucalyptus,165
22,Pinus pinea :: Italian Stone Pine,1067
23,Olea europaea :: Olive Tree,970
24,Liquidambar styraciflua :: American Sweet Gum,819
25,Phoenix canariensis :: Canary Island Date Palm,1001
26,Tristaniopsis laurina :: Swamp Myrtle,683
27,Quercus agrifolia :: Coast Live Oak,1227
28,Pyrus calleryana :: Ornamental Pear,1214
29,Pseudotsuga menziesii :: Douglas Fir,1198
30,Metrosideros excelsa :: New Zealand Xmas Tree,277
31,Magnolia grandiflora :: Southern Magnolia,845
32,Sequoia sempervirens :: Coast Redwood,1325
33,Prunus blireiana :: Flowering Plum,1170
34,Fraxinus velutina 'Glabra' :: Arizona Ash,643
35,Arecastrum romanzoffianum :: Queen Palm,1361
36,Cordyline australis :: Dracena Palm,1747
37,Cedrus deodara :: Deodar Cedar,292
38,Salix spp :: Willow,33
39,Acacia spp :: Acacia Spp,0
40,Acer rubrum :: Red Maple,1524
41,Cedrus atlantica Glauca :: Blue Atlas Cedar,287
42,Populus nigra 'Italica' :: Lombardy Poplar,1134
43,Prunus amygdalus :: Almond,1149
44,Cupressocyparis leylandii :: Leyland Cypress,467
45,Geijera parviflora :: Australian Willow,33
46,Afrocarpus gracilior :: Fern Pine,1113
47,Schinus terebinthifolius :: Brazilian Pepper,1323
48,Prunus spp :: Cherry,412
49,Eucalyptus nicholii :: Nichol's Willow-Leafed Peppermint,555
50,Ulmus parvifolia :: Chinese Elm,1443
51,Sequoiadendron giganteum :: Sierra Redwood,1330
52,Acacia stenophylla :: Shoestring Acacia,1513
53,Pyrus calleryana 'Chanticleer' :: Ornamental Pear Tree 'Chanticleer',1214
54,Rhamnus alaternus :: Italian Buckthorn,1268
55,Acer rubrum 'Armstrong' :: Armstrong Red Maple,101
56,Syzygium paniculatum :: Brush Cherry,1502
57,Arbutus 'Marina' :: Hybrid Strawberry Tree,174
58,Prunus serrulata :: Ornamental Cherry,1179
59,Maytenus boaria :: Mayten,925
60,Quercus spp :: Oak,277
61,Eriobotrya deflexa :: Bronze Loquat,508
62,Tilia cordata :: Littleleaf Linden,1408
63,Melaleuca quinquenervia :: Cajeput,931
64,Tristaniopsis laurina 'Elegant' :: Small-leaf Tristania 'Elegant',683
65,Leptospermum scoparium  'Helene Strybing' :: Helene Strybing New Zealand Tea Tree,1
66,Pinus canariensis :: Canary Island Pine,1035
67,Juniperus chinensis :: Juniper,749
68,Crataegus phaenopyrum :: Washington Hawthorn,453
69,Ulmus pumila :: Siberian Elm,1445
70,Myoporum laetum :: Myoporum,948
71,Arbutus unedo :: Strawberry Tree,174
72,Malus :: Crab Apple,899
73,Ficus nitida :: Laurel Fig,609
74,Robinia pseudoacacia :: Black Locust,1290
75,Pyrus calleryana 'Aristocrat' :: Aristocrat Callery Pear,1215
76,Ilex spp :: Holly Species,1242
77,Schinus molle :: California Pepper,1322
78,Ligustrum lucidum :: Glossy Privet,812
79,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,1007
80,Olea europaea 'Fruitless' :: Fruitless Olive,800
81,Pittosporum crassifolium :: Karo Tree,1090
82,Rhaphiolepis Majestic Beauty :: Indian Hawthorn  'Majestic Beau',1
83,Magnolia grandiflora 'Samuel Sommer' :: Samuel Sommer Magnolia,160
84,Pittosporum tenuifolium :: Tawhiwhi Pittosporum,1095
85,Ginkgo biloba :: Maidenhair Tree,657
86,Pittosporum eugenioides :: Tarata,1091
87,Ceanothus thyrsiflorus :: Blueblossom Ceanothus,283
88,Olea europaea 'Wilsonii' :: Wilson Olive Semi-fruitless,800
89,Magnolia x soulangiana 'Rustica Rubra' :: Chinese Magnolia,843
90,Quercus ilex :: Holly Oak,1242
91,Olea europaea 'Majestic Beauty' :: Majestic Beauty Fruitless Olive,800
92,Leptospermum scoparium :: New Zealand Tea Tree,1496
93,Acer palmatum :: Japanese Maple,55
94,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',1754
95,Lithocarpus densiflorus :: Tan Oak,827
96,Ceratonia siliqua :: Carob,306
97,Araucaria heterophylla :: Norfolk Island Pine,173
98,Melaleuca ericifolia :: Heath Melaleuca,930
99,Platanus x hispanica 'Yarwood' :: Yarwood Sycamore,1826
100,Ceanothus 'Ray Hartman' :: California Lilac 'Ray Hartman',282
101,Ficus microcarpa :: Chinese Banyan,603
102,Melaleuca nesophila :: Pink Melaleuca,932
103,Shrub :: Shrub,250
104,Cupressus sempervirens :: Italian Cypress,477
105,Magnolia spp :: Magnolia,825
106,Citrus spp :: Lemon: Orange: Lime,0
107,Brugmansia spp :: Angel trumpet,0
108,Lagunaria patersonii :: Primrose Tree,799
109,Washingtonia filifera :: California Fan Palm,1470
110,Koelreuteria paniculata :: Golden Rain Tree,708
111,Cinnamomum camphora :: Camphor Tree,357
112,Tristania conferta ::,1425
